lambda z ce cc cost edge_avg cloud_avg edge_0.0 edge_0.05 edge_0.1 edge_0.15000000000000002 edge_0.2 edge_0.25 edge_0.30000000000000004 edge_0.35000000000000003 edge_0.4 edge_0.45 edge_0.5 edge_0.55 edge_0.6000000000000001 edge_0.65 edge_0.7000000000000001 edge_0.75 edge_0.8 edge_0.8500000000000001 edge_0.9 edge_0.9500000000000001 edge_0.99 edge_0.999 edge_0.9999 edge_0.99999 cloud_0.0 cloud_0.05 cloud_0.1 cloud_0.15000000000000002 cloud_0.2 cloud_0.25 cloud_0.30000000000000004 cloud_0.35000000000000003 cloud_0.4 cloud_0.45 cloud_0.5 cloud_0.55 cloud_0.6000000000000001 cloud_0.65 cloud_0.7000000000000001 cloud_0.75 cloud_0.8 cloud_0.8500000000000001 cloud_0.9 cloud_0.9500000000000001 cloud_0.99 cloud_0.999 cloud_0.9999 cloud_0.99999
1.584 1.0 0.0 38.0 4.23 0.0 74.62801261503157 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 54.7 64.7 66.4 67.6 68.7 69.6 70.5 71.3 72.1 72.9 73.7 74.6 75.5 76.4 77.4 78.6 79.9 81.5 83.7 87.1 94.4 104.2 113.1 121.2
1.628 1.0 0.0 39.0 4.3475 0.0 74.53256644030688 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 54.3 64.6 66.3 67.6 68.6 69.5 70.4 71.2 72.0 72.8 73.6 74.5 75.4 76.3 77.3 78.5 79.8 81.4 83.5 87.0 94.4 104.2 112.1 119.4
1.672 1.0 0.0 40.0 4.465 0.0 74.39408120550294 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 54.3 64.6 66.3 67.5 68.5 69.4 70.3 71.1 71.9 72.7 73.5 74.3 75.2 76.1 77.2 78.3 79.6 81.2 83.3 86.7 93.9 103.1 110.3 116.6
1.716 0.97 2.0 40.0 4.644363749999999 46.54076335818317 74.39408120550294 23.5 33.1 34.8 36.1 37.3 38.3 39.3 40.2 41.2 42.2 43.3 44.5 45.8 47.3 49.1 51.2 53.9 57.4 62.2 70.4 89.80000000000001 117.4 147.6 185.0 54.3 64.6 66.3 67.5 68.5 69.4 70.3 71.1 71.9 72.7 73.5 74.3 75.2 76.1 77.2 78.3 79.6 81.2 83.3 86.7 93.9 103.1 110.3 116.6
1.76 0.95 3.0 40.0 4.80575 45.58471578556592 74.39408120550294 22.6 33.0 34.8 36.1 37.2 38.2 39.2 40.1 41.1 42.0 43.0 44.1 45.3 46.6 48.1 50.0 52.2 55.2 59.4 66.4 82.9 106.69999999999999 129.8 149.7 54.3 64.6 66.3 67.5 68.5 69.4 70.3 71.1 71.9 72.7 73.5 74.3 75.2 76.1 77.2 78.3 79.6 81.2 83.3 86.7 93.9 103.1 110.3 116.6
1.804 0.93 4.0 40.0 4.969251249999999 45.033834520683776 74.39408120550294 23.6 33.0 34.8 36.1 37.2 38.1 39.1 40.0 40.900000000000006 41.900000000000006 42.900000000000006 43.900000000000006 45.0 46.3 47.7 49.3 51.4 54.0 57.800000000000004 64.1 78.6 97.69999999999999 115.5 132.1 54.3 64.6 66.3 67.5 68.5 69.4 70.3 71.1 71.9 72.7 73.5 74.3 75.2 76.1 77.2 78.3 79.6 81.2 83.3 86.7 93.9 103.1 110.3 116.6
1.848 0.9 5.0 40.0 5.157075000000001 48.92474246265276 74.39408120550294 23.6 33.7 35.7 37.1 38.400000000000006 39.6 40.7 41.8 43.0 44.2 45.5 46.900000000000006 48.400000000000006 50.1 52.1 54.5 57.4 61.1 66.4 75.4 95.80000000000001 122.5 147.0 158.5 54.3 64.6 66.3 67.5 68.5 69.4 70.3 71.1 71.9 72.7 73.5 74.3 75.2 76.1 77.2 78.3 79.6 81.2 83.3 86.7 93.9 103.1 110.3 116.6
1.892 0.88 6.0 40.0 5.325335 48.57975297279548 74.39408120550294 22.8 33.8 35.7 37.2 38.400000000000006 39.6 40.7 41.8 42.900000000000006 44.1 45.3 46.7 48.2 49.900000000000006 51.800000000000004 54.0 56.800000000000004 60.300000000000004 65.4 73.80000000000001 93.80000000000001 120.80000000000001 146.0 162.29999999999998 54.3 64.6 66.3 67.5 68.5 69.4 70.3 71.1 71.9 72.7 73.5 74.3 75.2 76.1 77.2 78.3 79.6 81.2 83.3 86.7 93.9 103.1 110.3 116.6
1.936 0.86 7.0 40.0 5.495710000000001 48.65047980699176 74.39408120550294 23.400000000000002 33.900000000000006 35.8 37.3 38.5 39.7 40.8 42.0 43.1 44.3 45.5 46.900000000000006 48.3 50.0 51.9 54.1 56.800000000000004 60.300000000000004 65.2 73.6 92.80000000000001 119.9 143.4 157.5 54.3 64.6 66.3 67.5 68.5 69.4 70.3 71.1 71.9 72.7 73.5 74.3 75.2 76.1 77.2 78.3 79.6 81.2 83.3 86.7 93.9 103.1 110.3 116.6
1.98 0.84 8.0 40.0 5.668200000000001 49.16701866206391 74.39408120550294 23.200000000000003 34.0 36.0 37.5 38.8 40.0 41.1 42.3 43.5 44.7 46.0 47.400000000000006 48.900000000000006 50.6 52.5 54.800000000000004 57.6 61.300000000000004 66.30000000000001 74.80000000000001 93.69999999999999 120.4 146.4 164.2 54.3 64.6 66.3 67.5 68.5 69.4 70.3 71.1 71.9 72.7 73.5 74.3 75.2 76.1 77.2 78.3 79.6 81.2 83.3 86.7 93.9 103.1 110.3 116.6
