l_,ce,cc,z,pe,pc,dpe,dpc,avge,avgc,tot_avg
2.3555555532,17,40,0.72,0.999999999994633,0.999999999933045,81.7999999999996,77.1999999999999,40.463841425241135,45.06384142524098,43.775841425241026
2.3555555532,17,40,0.72,0.999999999994633,0.999999999933045,81.7999999999996,77.1999999999999,40.463841425241135,45.06384142524098,43.775841425241026
2.22222222,15,40,0.76,0.999999999994634,0.999999999933045,81.7999999999996,77.1999999999999,40.463841425240986,45.06384142524098,43.95984142524098
2.3555555532,17,40,0.72,0.999999999994633,0.999999999933045,81.7999999999996,77.1999999999999,40.463841425241135,45.06384142524098,43.775841425241026
2.22222222,15,40,0.76,0.999999999994634,0.999999999933045,81.7999999999996,77.1999999999999,40.463841425240986,45.06384142524098,43.95984142524098
2.1777777756,14,40,0.77,0.999999999994633,0.999999999933045,81.7999999999996,77.1999999999999,40.46384142524117,45.06384142524098,44.00584142524102
1.777777776,4,40,0.95,0.999999999994635,0.999999999933045,81.7999999999996,77.1999999999999,40.463841897802766,45.06384142524098,44.83384144886907
2.0888888868,11,40,0.81,0.999999999994634,0.999999999933045,81.7999999999996,77.1999999999999,40.46384142524097,45.06384142524098,44.18984142524098
2.0888888868,11,40,0.81,0.999999999994634,0.999999999933045,81.7999999999996,77.1999999999999,40.46384142524097,45.06384142524098,44.18984142524098
1.999999998,10,40,0.84,0.999999999994634,0.999999999933045,81.7999999999996,77.1999999999999,40.463841425241,45.06384142524098,44.32784142524098
1.6888888872,0,40,1.0,1.0,0.999999999933045,0.0,77.1999999999999,0.0,45.06384142524098,45.06384142524098
1.999999998,10,40,0.84,0.999999999994634,0.999999999933045,81.7999999999996,77.1999999999999,40.463841425241,45.06384142524098,44.32784142524098
1.6888888872,0,40,1.0,1.0,0.999999999933045,0.0,77.1999999999999,0.0,45.06384142524098,45.06384142524098
1.8222222204,5,40,0.93,0.999999999994634,0.999999999933045,81.7999999999996,77.1999999999999,40.46384143478964,45.06384142524098,44.741841425909385
1.5999999984,0,38,1.0,1.0,0.999999999933045,0.0,77.1999999999999,0.0,45.06384142524094,45.06384142524094
1.555555554,0,37,1.0,1.0,0.999999999933045,0.0,77.1999999999999,0.0,45.06384142524095,45.06384142524095
1.7333333316,3,40,0.97,0.999999999994621,0.999999999933045,81.7999999999996,77.1999999999999,40.46386650732298,45.06384142524098,44.925842177703444
1.4666666652,0,35,1.0,1.0,0.999999999933045,0.0,77.1999999999999,0.0,45.063841425240966,45.063841425240966
1.5111111096,0,36,1.0,1.0,0.999999999933045,0.0,77.1999999999999,0.0,45.063841425240966,45.063841425240966
