x,y
3.14,7.76220177813498e-09
3.15,8.09178370283824e-09
3.16,8.43405055216844e-09
3.17,8.78943901532446e-09
3.18,9.15839898228201e-09
3.19,9.54139388467558e-09
3.2,9.93890104386141e-09
3.21,1.03514120262727e-08
3.22,1.07794330061812e-08
3.23,1.12234851359784e-08
3.24,1.16841049240928e-08
3.25,1.2161844620657e-08
3.26,1.26572726110443e-08
3.27,1.31709738173911e-08
3.28,1.37035501082244e-08
3.29,1.42556207163135e-08
3.3,1.48278226648677e-08
3.31,1.54208112022011e-08
3.32,1.60352602449861e-08
3.33,1.66718628302209e-08
3.34,1.73313315760322e-08
3.35,1.80143991514418e-08
3.36,1.87218187552198e-08
3.37,1.94543646039537e-08
3.38,2.02128324294578e-08
3.39,2.0998039985656e-08
3.4,2.18108275650625e-08
3.41,2.26520585249934e-08
3.42,2.35226198236388e-08
3.43,2.44234225661275e-08
3.44,2.53554025607165e-08
3.45,2.63195208852385e-08
3.46,2.73167644639405e-08
3.47,2.83481466548501e-08
3.48,2.94147078478021e-08
3.49,3.05175160732642e-08
3.5,3.16576676220949e-08
3.51,3.28362876763774e-08
3.52,3.40545309514586e-08
3.53,3.53135823493396e-08
3.54,3.66146576235531e-08
3.55,3.79590040556703e-08
3.56,3.93479011435731e-08
3.57,4.07826613016396e-08
3.58,4.22646305729774e-08
3.59,4.37951893538538e-08
3.6,4.53757531304602e-08
3.61,4.70077732281574e-08
3.62,4.86927375733426e-08
3.63,5.04321714680885e-08
3.64,5.22276383776906e-08
3.65,5.40807407312757e-08
3.66,5.59931207356127e-08
3.67,5.79664612022733e-08
3.68,6.0002486388291e-08
3.69,6.21029628504607e-08
3.7,6.42697003134312e-08
3.71,6.65045525517349e-08
3.72,6.88094182859041e-08
3.73,7.11862420928214e-08
3.74,7.3637015330453e-08
3.75,7.61637770771159e-08
3.76,7.87686150854227e-08
3.77,8.14536667510586e-08
3.78,8.42211200965383e-08
3.79,8.70732147700889e-08
3.8,9.0012243059819e-08
3.81,9.3040550923308e-08
3.82,9.61605390327815e-08
3.83,9.93746638360102e-08
3.84,1.02685438633099e-07
3.85,1.06095434669286e-07
3.86,1.09607282243948e-07
3.87,1.13223671835911e-07
3.88,1.16947355245261e-07
3.89,1.20781146751771e-07
3.9,1.24727924290123e-07
3.91,1.28790630642049e-07
3.92,1.32972274645562e-07
3.93,1.37275932421411e-07
3.94,1.41704748616925e-07
3.95,1.46261937667381e-07
3.96,1.50950785075052e-07
3.97,1.55774648706087e-07
3.98,1.60736960105366e-07
3.99,1.65841225829482e-07
4,1.71091028797999e-07
4.01,1.76490029663121e-07
4.02,1.82041968197952e-07
4.03,1.87750664703446e-07
4.04,1.93620021434248e-07
